Telefonnumret är 0158 - 27 54 70.	Telefonnumret är 0158 - 27 54 70.	0.5
Bl.a.	Här finner du bl.a.	0.5
Bl.a.	Bl.a.	1.0
Ring 036-10 62 00.	Ring 036-10 56 72.	1.0
Ingen anmälan!	Ingen anmälan!	0.5
Måndag - torsdag klockan 8-18.	Måndag - torsdag klockan 10.00 - 16.00 Fredag klockan 10.00 - 14.00.	0.645872962474823
Måndag - torsdag klockan 8-18.	Måndag - torsdag klockan 10.00 - 16.00 Fredag klockan 10.00 - 14.00.	0.645872962474823
Måndag - torsdag klockan 8-18.	Måndag - torsdag 8.00 - 18.00, fredag 8.00 - 17.00.	0.7448097202512953
Utveckla Kronoparken 2.	Utveckla Kronoparken 2.	0.5
biblioteket.	biblioteket.	1.0
biblioteket.	biblioteket.	1.0
biblioteket.	biblioteket!	1.0
biblioteket.	biblioteket.	1.0
Grattis!	Grattis!	1.0000001192092896
Telefonnummer: 0418-47 09 62.	Telefonnummer: 0418-47 09 62.	1.0000001192092896
Telefonnummer: 0418-47 09 62.	Telefonnummer: 0418-47 09 62.	1.0000001192092896
Telefonnummer: 0418-47 09 62.	Telefonnummer: 0418-47 09 62.	1.0000001192092896
Telefonnummer: 0418-47 09 62.	Telefonnummer: 0418-47 09 62.	1.0000001192092896
Telefonnumret är 0418-47 00 00.	Telefonnumret är 0418-47 00 00.	0.5
Telefonnumret är 0418-47 00 00.	Telefonnumret är 0418-47 00 00.	0.5
Telefonnumret är 0418-47 00 00.	Telefonnumret är 0418-47 00 00.	0.5
Telefonnumret är 0418-47 00 00.	Telefonnumret är 0418-47 00 00.	0.5
Ring 0418- 47 00 00.	Ring 0418- 47 00 00.	1.0
Ring 0418- 47 00 00.	Ring 0418- 47 00 00.	1.0
Ring 0418- 47 00 00.	Ring 0418- 47 00 00.	1.0
Ring 0418- 47 00 00.	Ring 0418- 47 00 00.	1.0
Utomhusgrupper.	Utomhusgrupper.	1.0
Utomhusgrupper.	Utomhusgrupper.	1.0
Välkommen hit!	Välkommen hit!	0.5
Välkommen!	Välkommen!	1.0
Välkommen!	Varmt välkommen!	0.5
Åfjärden i Åmynnet.	Åfjärden i Åmynnet.	0.5108320245380411
